99 1 0.4186 3 1 5 -9999 -9999 -9999 3 5 5 "AT1167"
100 1 0.8371 2 2 4 -9999 -9999 -9999 3 1 5 "AT1168"
101 1 1.2557 2 2 3 -9999 -9999 -9999 2 3 2 "AT117"
102 1 0.8371 4 2 5 -9999 -9999 -9999 3 1 5 "AT1170"
103 1 2.0928 4 2 4 -9999 -9999 -9999 -9999 -9999 -9999 "AT1171"
104 1 0.4186 2 3 4 -9999 -9999 -9999 -9999 -9999 -9999 "AT1172"
105 1 1.6742 4 2 4 2 3 2 -9999 -9999 -9999 "AT1178"
106 1 1.2557 3 2 3 2 3 3 -9999 -9999 -9999 "AT118"
107 1 0.8371 2 2 4 -9999 -9999 -9999 -9999 -9999 -9999 "AT1180"
108 1 1.2557 3 2 4 -9999 -9999 -9999 -9999 -9999 -9999 "AT1182"
109 1 2.0928 1 2 3 4 2 3 -9999 -9999 -9999 "AT1183"
110 1 0.8371 3 2 4 2 4 2 -9999 -9999 -9999 "AT1184"
111 1 1.2557 4 2 3 1 4 1 -9999 -9999 -9999 "AT1190"
112 1 1.2557 3 3 5 3 4 1 -9999 -9999 -9999 "AT1192"
113 1 0.4186 3 3 5 -9999 -9999 -9999 3 3 3 "AT1194"
114 1 0.4186 1 3 2 -9999 -9999 -9999 2 4 2 "AT1195"
115 1 0.4186 2 3 2 -9999 -9999 -9999 -9999 -9999 -9999 "AT1196"
116 1 1.6742 2 2 3 -9999 -9999 -9999 -9999 -9999 -9999 "AT1198"
117 1 0.8371 1 4 1 -9999 -9999 -9999 1 4 1 "AT1201"
118 1 0.8371 2 1 2 4 5 3 -9999 -9999 -9999 "AT1202"
119 1 1.2557 4 2 5 -9999 -9999 -9999 5 2 5 "AT1203"
120 1 0.4186 2 3 4 4 3 3 -9999 -9999 -9999 "AT1206"
121 1 0.8371 3 4 2 3 2 4 -9999 -9999 -9999 "AT1207"
122 1 0.8371 5 1 4 -9999 -9999 -9999 5 1 5 "AT1208"
123 1 0.8371 3 1 4 -9999 -9999 -9999 -9999 -9999 -9999 "AT1210"
124 1 1.2557 4 2 1 -9999 -9999 -9999 -9999 -9999 -9999 "AT1213"
125 1 1.6742 3 2 4 3 3 1 -9999 -9999 -9999 "AT1214"
126 1 2.0928 3 2 4 -9999 -9999 -9999 3 2 5 "AT1216"
127 1 1.2557 2 2 5 -9999 -9999 -9999 -9999 -9999 -9999 "AT1217"
128 1 2.0928 3 2 4 -9999 -9999 -9999 3 2 5 "AT1218"
129 1 1.2557 2 2 3 2 2 2 -9999 -9999 -9999 "AT122"
130 1 1.2557 3 2 3 -9999 -9999 -9999 3 3 4 "AT1220"
131 1 1.6742 -9999 1 -9999 -9999 -9999 -9999 3 3 3 "AT1222"
132 1 0.8371 4 2 4 -9999 -9999 -9999 4 2 5 "AT1226"
133 1 0.8371 3 2 3 -9999 -9999 -9999 4 2 4 "AT1229"
134 1 0.8371 2 2 4 -9999 -9999 -9999 -9999 -9999 -9999 "AT123"
135 1 1.2557 4 2 4 4 4 4 -9999 -9999 -9999 "AT1230"
136 1 1.2557 5 1 5 -9999 -9999 -9999 -9999 -9999 -9999 "AT1231"
137 1 0.8371 5 3 3 -9999 -9999 -9999 3 3 3 "AT1239"
138 1 2.5113 3 3 4 2 3 3 -9999 -9999 -9999 "AT124"
139 1 0.4186 5 2 5 -9999 -9999 -9999 -9999 -9999 -9999 "AT1240"
140 1 0.8371 3 1 5 -9999 -9999 -9999 3 1 4 "AT1241"
141 1 0.8371 3 4 3 -9999 -9999 -9999 3 3 3 "AT1245"
142 1 0.4186 1 4 2 4 -9999 -9999 -9999 -9999 -9999 "AT1246"
143 1 0.8371 3 3 4 -9999 -9999 -9999 4 3 5 "AT1249"
144 1 1.2557 3 1 3 -9999 -9999 -9999 -9999 -9999 -9999 "AT125"
145 1 1.2557 5 4 2 -9999 -9999 -9999 2 3 3 "AT1250"
146 1 1.6742 3 3 4 -9999 -9999 -9999 3 4 4 "AT1252"
147 1 1.2557 3 3 3 -9999 -9999 -9999 -9999 -9999 -9999 "AT1254"
148 1 1.2557 1 5 5 -9999 -9999 -9999 -9999 -9999 -9999 "AT1256"
149 1 1.6742 2 2 3 -9999 -9999 -9999 -9999 -9999 -9999 "AT126"
150 1 0.4186 3 2 2 2 4 4 -9999 -9999 -9999 "AT1261"
151 1 0.8371 2 2 4 -9999 -9999 -9999 -9999 -9999 -9999 "AT1262"
152 1 1.6742 5 1 4 2 4 2 -9999 -9999 -9999 "AT1264"
153 1 1.2557 4 2 5 -9999 -9999 -9999 -9999 -9999 -9999 "AT127"
154 1 2.0928 4 1 4 -9999 -9999 -9999 -9999 -9999 -9999 "AT1270"
155 1 2.0928 3 2 3 -9999 -9999 -9999 1 3 4 "AT1273"
156 1 2.9299 1 5 3 -9999 -9999 -9999 -9999 -9999 -9999 "AT1275"
